snapshot,code,service,offices,capacity
2024-12,03208,訪問リハビリテーション,1,0
2024-12,03208,訪問介護,4,0
2024-12,03208,訪問入浴介護,2,25
2024-12,03208,訪問看護,2,0
2024-12,03208,認知症対応型共同生活介護,6,0
2024-12,03208,認知症対応型通所介護,1,0
2024-12,03208,通所リハビリテーション,1,0
2024-12,03208,通所介護,7,60
2024-12,03209,介護老人保健施設,7,262
2024-12,03209,介護老人福祉施設,16,167
2024-12,03209,地域密着型介護老人福祉施設入所者生活介護,7,87
2024-12,03209,地域密着型特定施設入居者生活介護（軽費老人ホーム）,2,0
2024-12,03209,地域密着型通所介護,16,86
2024-12,03209,小規模多機能型居宅介護,5,50
2024-12,03209,居宅介護支援,41,1134
2024-12,03209,特定施設入居者生活介護（有料老人ホーム）,1,0
2024-12,03209,特定施設入居者生活介護（軽費老人ホーム）,1,20
2024-12,03209,特定福祉用具販売,11,0
2024-12,03209,看護小規模多機能型居宅介護,1,0
2024-12,03209,短期入所生活介護,24,54
2024-12,03209,短期入所療養介護（介護老人保健施設）,7,91
2024-12,03209,福祉用具貸与,12,0
2024-12,03209,訪問リハビリテーション,4,0
2024-12,03209,訪問介護,31,141
2024-12,03209,訪問入浴介護,7,112
2024-12,03209,訪問看護,15,57
2024-12,03209,認知症対応型共同生活介護,24,135
2024-12,03209,認知症対応型通所介護,2,0
2024-12,03209,通所リハビリテーション,8,110
2024-12,03209,通所介護,37,284
2024-12,03210,介護老人保健施設,1,0
2024-12,03210,介護老人福祉施設,2,0
2024-12,03210,地域密着型介護老人福祉施設入所者生活介護,1,29
2024-12,03210,地域密着型通所介護,6,10
2024-12,03210,小規模多機能型居宅介護,4,56
2024-12,03210,居宅介護支援,7,75
2024-12,03210,特定福祉用具販売,1,0
2024-12,03210,短期入所生活介護,3,0
2024-12,03210,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03210,福祉用具貸与,1,0
2024-12,03210,訪問リハビリテーション,1,0
2024-12,03210,訪問介護,6,39
2024-12,03210,訪問入浴介護,1,0
2024-12,03210,訪問看護,1,0
2024-12,03210,認知症対応型共同生活介護,2,9
2024-12,03210,認知症対応型通所介護,1,12
2024-12,03210,通所リハビリテーション,1,0
2024-12,03210,通所介護,3,0
2024-12,03211,介護老人保健施設,2,0
2024-12,03211,介護老人福祉施設,3,0
2024-12,03211,地域密着型介護老人福祉施設入所者生活介護,2,29
2024-12,03211,地域密着型通所介護,4,18
2024-12,03211,小規模多機能型居宅介護,2,18
2024-12,03211,居宅介護支援,11,156
2024-12,03211,特定福祉用具販売,4,0
2024-12,03211,短期入所生活介護,4,0
2024-12,03211,短期入所療養介護（介護老人保健施設）,2,0
2024-12,03211,福祉用具貸与,4,0
2024-12,03211,訪問リハビリテーション,1,0
2024-12,03211,訪問介護,11,0
2024-12,03211,訪問入浴介護,3,3
2024-12,03211,訪問看護,4,10
2024-12,03211,認知症対応型共同生活介護,8,27
2024-12,03211,認知症対応型通所介護,2,0
2024-12,03211,通所リハビリテーション,2,0
2024-12,03211,通所介護,8,80
2024-12,03213,介護老人保健施設,1,100
2024-12,03213,介護老人福祉施設,3,50
2024-12,03213,地域密着型介護老人福祉施設入所者生活介護,4,40
2024-12,03213,小規模多機能型居宅介護,1,0
2024-12,03213,居宅介護支援,6,0
2024-12,03213,特定施設入居者生活介護（軽費老人ホーム）,2,40
2024-12,03213,特定福祉用具販売,4,0
2024-12,03213,短期入所生活介護,10,0
2024-12,03213,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03213,福祉用具貸与,4,0
2024-12,03213,訪問リハビリテーション,1,10
2024-12,03213,訪問介護,6,12
2024-12,03213,訪問入浴介護,2,0
2024-12,03213,訪問看護,2,0
2024-12,03213,認知症対応型共同生活介護,4,18
2024-12,03213,通所リハビリテーション,1,40
2024-12,03213,通所介護,8,290
2024-12,03214,介護老人保健施設,3,0
2024-12,03214,介護老人福祉施設,4,60
2024-12,03214,地域密着型介護老人福祉施設入所者生活介護,1,29
2024-12,03214,地域密着型通所介護,3,10
2024-12,03214,小規模多機能型居宅介護,2,0
2024-12,03214,居宅介護支援,12,246
2024-12,03214,特定施設入居者生活介護（軽費老人ホーム）,1,0
2024-12,03214,短期入所生活介護,6,0
2024-12,03214,短期入所療養介護（介護老人保健施設）,3,0
2024-12,03214,訪問リハビリテーション,1,0
2024-12,03214,訪問介護,4,0
2024-12,03214,訪問看護,1,0
2024-12,03214,認知症対応型共同生活介護,5,18
2024-12,03214,認知症対応型通所介護,1,0
2024-12,03214,通所リハビリテーション,4,48
2024-12,03214,通所介護,6,0
2024-12,03215,介護老人保健施設,5,190
2024-12,03215,介護老人福祉施設,13,383
2024-12,03215,地域密着型介護老人福祉施設入所者生活介護,11,58
2024-12,03215,地域密着型通所介護,11,81
2024-12,03215,定期巡回・随時対応型訪問介護看護,1,0
2024-12,03215,小規模多機能型居宅介護,6,29
2024-12,03215,居宅介護支援,32,2045
2024-12,03215,特定施設入居者生活介護（サービス付き高齢者向け住宅）,2,0
2024-12,03215,特定福祉用具販売,9,0
2024-12,03215,看護小規模多機能型居宅介護,1,0
2024-12,03215,短期入所生活介護,20,75
2024-12,03215,短期入所療養介護（介護老人保健施設）,5,3
2024-12,03215,福祉用具貸与,9,0
2024-12,03215,訪問リハビリテーション,5,23
2024-12,03215,訪問介護,22,406
2024-12,03215,訪問入浴介護,2,0
2024-12,03215,訪問看護,9,200
2024-12,03215,認知症対応型共同生活介護,19,153
2024-12,03215,認知症対応型通所介護,3,26
2024-12,03215,通所リハビリテーション,8,150
2024-12,03215,通所介護,31,252
2024-12,03216,介護老人保健施設,3,100
2024-12,03216,介護老人福祉施設,3,135
2024-12,03216,地域密着型通所介護,6,41
2024-12,03216,小規模多機能型居宅介護,2,29
2024-12,03216,居宅介護支援,13,115
2024-12,03216,特定施設入居者生活介護（軽費老人ホーム）,1,0
2024-12,03216,特定福祉用具販売,2,0
2024-12,03216,短期入所生活介護,3,0
2024-12,03216,短期入所療養介護（介護老人保健施設）,3,0
2024-12,03216,福祉用具貸与,2,0
2024-12,03216,訪問リハビリテーション,4,0
2024-12,03216,訪問介護,16,149
2024-12,03216,訪問入浴介護,1,0
2024-12,03216,訪問看護,8,2
2024-12,03216,認知症対応型共同生活介護,4,45
2024-12,03216,通所リハビリテーション,3,5
2024-12,03216,通所介護,15,20
2024-12,03301,介護老人保健施設,3,0
2024-12,03301,介護老人福祉施設,2,135
2024-12,03301,地域密着型通所介護,5,72
2024-12,03301,定期巡回・随時対応型訪問介護看護,1,0
2024-12,03301,居宅介護支援,6,228
2024-12,03301,短期入所生活介護,2,10
2024-12,03301,短期入所療養介護（介護老人保健施設）,3,0
2024-12,03301,訪問リハビリテーション,3,0
2024-12,03301,訪問介護,3,62
2024-12,03301,訪問看護,2,0
2024-12,03301,認知症対応型共同生活介護,2,0
2024-12,03301,認知症対応型通所介護,1,0
2024-12,03301,通所リハビリテーション,4,17
2024-12,03301,通所介護,1,0
2024-12,03302,介護老人保健施設,1,0
2024-12,03302,介護老人福祉施設,1,0
2024-12,03302,地域密着型介護老人福祉施設入所者生活介護,1,0
2024-12,03302,小規模多機能型居宅介護,1,25
2024-12,03302,居宅介護支援,2,105
2024-12,03302,短期入所生活介護,2,0
2024-12,03302,短期入所療養介護（介護老人保健施設）,1,0
2024-12,03302,訪問介護,1,30
2024-12,03302,認知症対応型共同生活介護,1,0
2024-12,03302,通所リハビリテーション,1,0
2024-12,03302,通所介護,1,0
2024-12,03303,介護老人保健施設,1,90
2024-12,03303,介護老人福祉施設,2,0
2024-12,03303,地域密着型介護老人福祉施設入所者生活介護,1,0
2024-12,03303,居宅介護支援,4,105
2024-12,03303,特定福祉用具販売,1,0
2024-12,03303,看護小規模多機能型居宅介護,1,29
2024-12,03303,短期入所生活介護,2,0
