snapshot,code,service,offices,capacity
2026-06,03206,特定福祉用具販売,6,0
2026-06,03206,看護小規模多機能型居宅介護,3,29
2026-06,03206,短期入所生活介護,11,49
2026-06,03206,短期入所療養介護（介護老人保健施設）,4,80
2026-06,03206,福祉用具貸与,6,0
2026-06,03206,訪問リハビリテーション,4,0
2026-06,03206,訪問介護,14,22
2026-06,03206,訪問看護,12,249
2026-06,03206,認知症対応型共同生活介護,14,81
2026-06,03206,認知症対応型通所介護,2,9
2026-06,03206,通所リハビリテーション,3,160
2026-06,03206,通所介護,19,199
2026-06,03207,介護医療院,1,0
2026-06,03207,介護老人保健施設,3,0
2026-06,03207,介護老人福祉施設,3,150
2026-06,03207,地域密着型介護老人福祉施設入所者生活介護,1,29
2026-06,03207,地域密着型通所介護,10,28
2026-06,03207,小規模多機能型居宅介護,4,58
2026-06,03207,居宅介護支援,8,419
2026-06,03207,特定福祉用具販売,2,0
2026-06,03207,看護小規模多機能型居宅介護,1,0
2026-06,03207,短期入所生活介護,4,20
2026-06,03207,短期入所療養介護（介護医療院）,1,0
2026-06,03207,短期入所療養介護（介護老人保健施設）,3,0
2026-06,03207,福祉用具貸与,2,0
2026-06,03207,訪問リハビリテーション,1,0
2026-06,03207,訪問介護,8,30
2026-06,03207,訪問看護,2,0
2026-06,03207,認知症対応型共同生活介護,5,27
2026-06,03207,認知症対応型通所介護,2,6
2026-06,03207,通所リハビリテーション,3,0
2026-06,03207,通所介護,5,40
2026-06,03208,介護老人保健施設,2,0
2026-06,03208,介護老人福祉施設,4,100
2026-06,03208,地域密着型通所介護,5,18
2026-06,03208,小規模多機能型居宅介護,3,0
2026-06,03208,居宅介護支援,8,108
2026-06,03208,特定福祉用具販売,2,0
2026-06,03208,短期入所生活介護,4,0
2026-06,03208,短期入所療養介護（介護老人保健施設）,2,0
2026-06,03208,福祉用具貸与,2,0
2026-06,03208,訪問リハビリテーション,2,0
2026-06,03208,訪問介護,3,10
2026-06,03208,訪問入浴介護,2,25
2026-06,03208,訪問看護,2,0
2026-06,03208,認知症対応型共同生活介護,7,9
2026-06,03208,認知症対応型通所介護,1,0
2026-06,03208,通所リハビリテーション,2,0
2026-06,03208,通所介護,6,50
2026-06,03209,介護老人保健施設,7,262
2026-06,03209,介護老人福祉施設,16,218
2026-06,03209,地域密着型介護老人福祉施設入所者生活介護,7,87
2026-06,03209,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,0
2026-06,03209,地域密着型特定施設入居者生活介護（軽費老人ホーム）,2,27
2026-06,03209,地域密着型通所介護,16,134
2026-06,03209,小規模多機能型居宅介護,3,25
2026-06,03209,居宅介護支援,40,1247
2026-06,03209,特定施設入居者生活介護（有料老人ホーム）,1,0
2026-06,03209,特定施設入居者生活介護（軽費老人ホーム）,1,20
2026-06,03209,特定福祉用具販売,12,0
2026-06,03209,看護小規模多機能型居宅介護,1,29
2026-06,03209,短期入所生活介護,24,64
2026-06,03209,短期入所療養介護（介護老人保健施設）,7,91
2026-06,03209,福祉用具貸与,13,0
2026-06,03209,訪問リハビリテーション,5,0
2026-06,03209,訪問介護,30,132
2026-06,03209,訪問入浴介護,5,84
2026-06,03209,訪問看護,16,104
2026-06,03209,認知症対応型共同生活介護,23,126
2026-06,03209,認知症対応型通所介護,2,0
2026-06,03209,通所リハビリテーション,8,110
2026-06,03209,通所介護,35,333
2026-06,03210,介護老人保健施設,1,0
2026-06,03210,介護老人福祉施設,2,0
2026-06,03210,地域密着型介護老人福祉施設入所者生活介護,1,29
2026-06,03210,地域密着型通所介護,5,10
2026-06,03210,小規模多機能型居宅介護,4,58
2026-06,03210,居宅介護支援,6,160
2026-06,03210,特定福祉用具販売,1,0
2026-06,03210,短期入所生活介護,3,0
2026-06,03210,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03210,福祉用具貸与,1,0
2026-06,03210,訪問リハビリテーション,1,0
2026-06,03210,訪問介護,5,0
2026-06,03210,訪問入浴介護,1,0
2026-06,03210,訪問看護,2,0
2026-06,03210,認知症対応型共同生活介護,3,9
2026-06,03210,認知症対応型通所介護,1,12
2026-06,03210,通所リハビリテーション,1,0
2026-06,03210,通所介護,3,0
2026-06,03211,介護老人保健施設,2,0
2026-06,03211,介護老人福祉施設,3,0
2026-06,03211,地域密着型介護老人福祉施設入所者生活介護,2,29
2026-06,03211,地域密着型通所介護,3,18
2026-06,03211,小規模多機能型居宅介護,2,18
2026-06,03211,居宅介護支援,11,156
2026-06,03211,特定福祉用具販売,4,0
2026-06,03211,看護小規模多機能型居宅介護,1,0
2026-06,03211,短期入所生活介護,4,0
2026-06,03211,短期入所療養介護（介護老人保健施設）,2,0
2026-06,03211,福祉用具貸与,4,0
2026-06,03211,訪問介護,9,0
2026-06,03211,訪問入浴介護,1,1
2026-06,03211,訪問看護,4,10
2026-06,03211,認知症対応型共同生活介護,8,27
2026-06,03211,認知症対応型通所介護,2,0
2026-06,03211,通所リハビリテーション,2,0
2026-06,03211,通所介護,8,80
2026-06,03213,介護老人保健施設,1,100
2026-06,03213,介護老人福祉施設,3,110
2026-06,03213,地域密着型介護老人福祉施設入所者生活介護,4,40
2026-06,03213,小規模多機能型居宅介護,1,0
2026-06,03213,居宅介護支援,6,0
2026-06,03213,特定施設入居者生活介護（軽費老人ホーム）,2,40
2026-06,03213,特定福祉用具販売,4,0
2026-06,03213,短期入所生活介護,10,7
2026-06,03213,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03213,福祉用具貸与,4,0
2026-06,03213,訪問リハビリテーション,1,10
2026-06,03213,訪問介護,6,12
2026-06,03213,訪問入浴介護,2,0
2026-06,03213,訪問看護,2,0
2026-06,03213,認知症対応型共同生活介護,3,9
2026-06,03213,通所リハビリテーション,1,40
2026-06,03213,通所介護,8,290
2026-06,03214,介護老人保健施設,3,0
2026-06,03214,介護老人福祉施設,4,140
2026-06,03214,地域密着型介護老人福祉施設入所者生活介護,1,29
2026-06,03214,地域密着型通所介護,3,0
2026-06,03214,小規模多機能型居宅介護,2,0
2026-06,03214,居宅介護支援,12,246
2026-06,03214,特定施設入居者生活介護（軽費老人ホーム）,1,0
2026-06,03214,短期入所生活介護,6,0
2026-06,03214,短期入所療養介護（介護老人保健施設）,3,0
2026-06,03214,訪問介護,5,11
2026-06,03214,訪問看護,1,0
2026-06,03214,認知症対応型共同生活介護,5,27
2026-06,03214,認知症対応型通所介護,1,0
2026-06,03214,通所リハビリテーション,3,0
2026-06,03214,通所介護,5,0
2026-06,03215,介護老人保健施設,5,190
2026-06,03215,介護老人福祉施設,13,433
2026-06,03215,地域密着型介護老人福祉施設入所者生活介護,11,87
2026-06,03215,地域密着型通所介護,11,63
2026-06,03215,定期巡回・随時対応型訪問介護看護,1,0
2026-06,03215,小規模多機能型居宅介護,6,29
2026-06,03215,居宅介護支援,30,2147
2026-06,03215,特定施設入居者生活介護（サービス付き高齢者向け住宅）,1,20
2026-06,03215,特定福祉用具販売,8,0
2026-06,03215,看護小規模多機能型居宅介護,1,0
2026-06,03215,短期入所生活介護,24,85
2026-06,03215,短期入所療養介護（介護老人保健施設）,5,3
2026-06,03215,福祉用具貸与,8,0
2026-06,03215,訪問リハビリテーション,6,23
2026-06,03215,訪問介護,18,246
2026-06,03215,訪問入浴介護,2,0
2026-06,03215,訪問看護,8,200
2026-06,03215,認知症対応型共同生活介護,18,153
2026-06,03215,認知症対応型通所介護,2,14
2026-06,03215,通所リハビリテーション,8,165
2026-06,03215,通所介護,27,266
2026-06,03216,介護老人保健施設,2,100
2026-06,03216,介護老人福祉施設,3,135
2026-06,03216,地域密着型通所介護,3,28
2026-06,03216,小規模多機能型居宅介護,2,29
2026-06,03216,居宅介護支援,16,230
2026-06,03216,特定施設入居者生活介護（軽費老人ホーム）,1,0
2026-06,03216,特定福祉用具販売,2,0
2026-06,03216,短期入所生活介護,4,54
2026-06,03216,短期入所療養介護（介護老人保健施設）,2,2
2026-06,03216,福祉用具貸与,2,0
2026-06,03216,訪問リハビリテーション,4,0
2026-06,03216,訪問介護,12,178
2026-06,03216,訪問入浴介護,1,0
2026-06,03216,訪問看護,8,153
2026-06,03216,認知症対応型共同生活介護,4,45
2026-06,03216,認知症対応型通所介護,1,0
2026-06,03216,通所リハビリテーション,2,0
2026-06,03216,通所介護,15,20
2026-06,03301,介護老人保健施設,3,0
2026-06,03301,介護老人福祉施設,2,135
2026-06,03301,地域密着型通所介護,4,54
2026-06,03301,定期巡回・随時対応型訪問介護看護,1,0
2026-06,03301,居宅介護支援,6,228
2026-06,03301,短期入所生活介護,2,10
2026-06,03301,短期入所療養介護（介護老人保健施設）,3,0
2026-06,03301,訪問リハビリテーション,3,0
2026-06,03301,訪問介護,3,60
2026-06,03301,訪問看護,2,0
2026-06,03301,認知症対応型共同生活介護,2,0
2026-06,03301,認知症対応型通所介護,1,12
2026-06,03301,通所リハビリテーション,3,0
2026-06,03301,通所介護,1,0
2026-06,03302,介護老人保健施設,1,0
2026-06,03302,介護老人福祉施設,1,0
2026-06,03302,地域密着型介護老人福祉施設入所者生活介護,1,0
2026-06,03302,地域密着型通所介護,1,0
2026-06,03302,小規模多機能型居宅介護,1,25
2026-06,03302,居宅介護支援,2,105
2026-06,03302,短期入所生活介護,2,0
2026-06,03302,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03302,訪問介護,1,60
2026-06,03302,認知症対応型共同生活介護,1,0
2026-06,03302,通所リハビリテーション,1,0
2026-06,03302,通所介護,1,0
2026-06,03303,介護老人保健施設,1,90
2026-06,03303,介護老人福祉施設,2,0
2026-06,03303,地域密着型介護老人福祉施設入所者生活介護,1,0
2026-06,03303,居宅介護支援,4,105
2026-06,03303,特定福祉用具販売,1,0
2026-06,03303,看護小規模多機能型居宅介護,1,29
2026-06,03303,短期入所生活介護,2,0
2026-06,03303,短期入所療養介護（介護老人保健施設）,1,2
2026-06,03303,福祉用具貸与,1,0
2026-06,03303,訪問リハビリテーション,2,20
2026-06,03303,訪問介護,1,40
2026-06,03303,訪問看護,2,0
2026-06,03303,認知症対応型共同生活介護,3,27
2026-06,03303,認知症対応型通所介護,1,0
2026-06,03303,通所リハビリテーション,3,30
2026-06,03303,通所介護,1,40
2026-06,03321,介護老人福祉施設,3,0
2026-06,03321,地域密着型通所介護,9,15
2026-06,03321,小規模多機能型居宅介護,1,12
2026-06,03321,居宅介護支援,8,10
2026-06,03321,特定福祉用具販売,1,0
2026-06,03321,短期入所生活介護,5,0
2026-06,03321,福祉用具貸与,1,0
2026-06,03321,訪問介護,6,85
2026-06,03321,訪問看護,4,100
2026-06,03321,認知症対応型共同生活介護,3,27
2026-06,03321,通所介護,7,25
2026-06,03322,介護老人保健施設,3,95
2026-06,03322,介護老人福祉施設,2,0
2026-06,03322,地域密着型介護老人福祉施設入所者生活介護,1,0
2026-06,03322,地域密着型通所介護,4,120
2026-06,03322,居宅介護支援,7,185
2026-06,03322,特定福祉用具販売,2,0
2026-06,03322,短期入所生活介護,2,8
2026-06,03322,短期入所療養介護（介護老人保健施設）,3,7
2026-06,03322,福祉用具貸与,2,0
2026-06,03322,訪問リハビリテーション,2,0
2026-06,03322,訪問介護,6,22
2026-06,03322,訪問入浴介護,1,0
2026-06,03322,訪問看護,4,0
2026-06,03322,認知症対応型共同生活介護,2,18
2026-06,03322,認知症対応型通所介護,1,6
2026-06,03322,通所リハビリテーション,2,0
2026-06,03322,通所介護,5,77
2026-06,03366,介護老人保健施設,1,81
2026-06,03366,介護老人福祉施設,2,52
2026-06,03366,小規模多機能型居宅介護,3,43
2026-06,03366,居宅介護支援,2,117
2026-06,03366,短期入所生活介護,2,10
2026-06,03366,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03366,訪問リハビリテーション,2,0
2026-06,03366,訪問介護,1,0
2026-06,03366,訪問入浴介護,1,0
2026-06,03366,訪問看護,1,0
2026-06,03366,認知症対応型共同生活介護,2,18
2026-06,03366,認知症対応型通所介護,2,0
2026-06,03366,通所リハビリテーション,2,19
2026-06,03366,通所介護,1,0
2026-06,03381,介護老人保健施設,1,0
2026-06,03381,介護老人福祉施設,2,30
2026-06,03381,地域密着型介護老人福祉施設入所者生活介護,2,0
2026-06,03381,小規模多機能型居宅介護,2,25
2026-06,03381,居宅介護支援,4,45
2026-06,03381,特定福祉用具販売,2,0
2026-06,03381,短期入所生活介護,3,0
2026-06,03381,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03381,福祉用具貸与,2,0
2026-06,03381,訪問介護,3,0
2026-06,03381,訪問看護,2,0
2026-06,03381,認知症対応型共同生活介護,3,27
2026-06,03381,認知症対応型通所介護,1,3
2026-06,03381,通所リハビリテーション,2,65
2026-06,03381,通所介護,3,0
2026-06,03402,介護老人保健施設,1,0
2026-06,03402,介護老人福祉施設,1,50
2026-06,03402,地域密着型介護老人福祉施設入所者生活介護,1,0
2026-06,03402,地域密着型通所介護,1,0
2026-06,03402,居宅介護支援,3,45
2026-06,03402,短期入所生活介護,2,8
2026-06,03402,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03402,訪問リハビリテーション,1,0
2026-06,03402,訪問介護,1,0
2026-06,03402,認知症対応型共同生活介護,3,27
2026-06,03402,認知症対応型通所介護,1,0
2026-06,03402,通所リハビリテーション,1,0
2026-06,03402,通所介護,2,25
2026-06,03441,介護老人福祉施設,1,70
2026-06,03441,地域密着型通所介護,1,0
2026-06,03441,居宅介護支援,3,35
2026-06,03441,短期入所生活介護,1,0
2026-06,03441,訪問介護,2,0
2026-06,03441,訪問入浴介護,1,0
2026-06,03441,訪問看護,1,0
2026-06,03441,認知症対応型共同生活介護,1,9
2026-06,03441,通所介護,2,68
2026-06,03461,介護老人保健施設,1,0
2026-06,03461,介護老人福祉施設,2,110
2026-06,03461,地域密着型通所介護,4,0
2026-06,03461,小規模多機能型居宅介護,2,29
2026-06,03461,居宅介護支援,3,0
2026-06,03461,短期入所生活介護,2,25
2026-06,03461,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03461,訪問リハビリテーション,1,0
2026-06,03461,訪問介護,2,0
2026-06,03461,訪問入浴介護,1,0
2026-06,03461,認知症対応型共同生活介護,2,36
2026-06,03461,通所リハビリテーション,1,0
2026-06,03482,介護老人保健施設,1,0
2026-06,03482,介護老人福祉施設,1,0
2026-06,03482,地域密着型通所介護,1,0
2026-06,03482,小規模多機能型居宅介護,2,0
2026-06,03482,居宅介護支援,8,93
2026-06,03482,短期入所生活介護,1,0
2026-06,03482,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03482,訪問リハビリテーション,1,0
2026-06,03482,訪問介護,5,0
2026-06,03482,訪問入浴介護,2,0
2026-06,03482,訪問看護,1,0
2026-06,03482,認知症対応型共同生活介護,5,9
2026-06,03482,通所リハビリテーション,1,0
2026-06,03482,通所介護,1,25
2026-06,03483,介護老人保健施設,1,0
2026-06,03483,介護老人福祉施設,1,0
2026-06,03483,地域密着型通所介護,2,18
2026-06,03483,小規模多機能型居宅介護,1,0
2026-06,03483,居宅介護支援,1,0
2026-06,03483,短期入所生活介護,1,0
2026-06,03483,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03483,訪問リハビリテーション,1,0
2026-06,03483,訪問介護,1,0
2026-06,03483,訪問入浴介護,1,0
2026-06,03483,訪問看護,1,0
2026-06,03483,認知症対応型共同生活介護,3,9
2026-06,03483,通所リハビリテーション,1,0
2026-06,03483,通所介護,2,30
2026-06,03484,介護老人福祉施設,1,0
2026-06,03484,地域密着型介護老人福祉施設入所者生活介護,1,29
2026-06,03484,地域密着型通所介護,1,0
2026-06,03484,居宅介護支援,2,174
2026-06,03484,短期入所生活介護,2,10
2026-06,03484,訪問介護,1,0
2026-06,03484,訪問看護,1,0
2026-06,03484,認知症対応型共同生活介護,2,18
2026-06,03484,認知症対応型通所介護,1,6
2026-06,03485,介護老人福祉施設,1,0
2026-06,03485,小規模多機能型居宅介護,1,18
2026-06,03485,居宅介護支援,1,0
2026-06,03485,短期入所生活介護,1,0
2026-06,03485,訪問介護,1,0
2026-06,03485,認知症対応型共同生活介護,1,9
2026-06,03485,通所介護,1,0
2026-06,03501,介護老人保健施設,1,0
2026-06,03501,介護老人福祉施設,2,0
2026-06,03501,小規模多機能型居宅介護,1,29
2026-06,03501,居宅介護支援,2,0
2026-06,03501,短期入所生活介護,2,0
2026-06,03501,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03501,訪問介護,4,15
2026-06,03501,認知症対応型共同生活介護,1,9
2026-06,03501,通所リハビリテーション,1,0
2026-06,03501,通所介護,2,0
2026-06,03503,介護老人福祉施設,1,0
2026-06,03503,地域密着型介護老人福祉施設入所者生活介護,1,0
2026-06,03503,地域密着型通所介護,1,10
2026-06,03503,居宅介護支援,1,0
2026-06,03503,短期入所生活介護,2,0
2026-06,03503,訪問介護,1,0
2026-06,03503,訪問看護,1,0
2026-06,03503,認知症対応型共同生活介護,1,18
2026-06,03503,認知症対応型通所介護,1,0
2026-06,03503,通所介護,1,0
2026-06,03506,介護老人福祉施設,1,0
2026-06,03506,地域密着型介護老人福祉施設入所者生活介護,2,0
2026-06,03506,地域密着型通所介護,1,0
2026-06,03506,小規模多機能型居宅介護,1,0
2026-06,03506,居宅介護支援,2,0
2026-06,03506,短期入所生活介護,4,0
2026-06,03506,訪問介護,3,0
2026-06,03506,認知症対応型共同生活介護,1,0
2026-06,03506,通所介護,3,0
2026-06,03507,介護老人保健施設,2,0
2026-06,03507,介護老人福祉施設,3,0
2026-06,03507,地域密着型介護老人福祉施設入所者生活介護,1,29
2026-06,03507,地域密着型特定施設入居者生活介護（有料老人ホーム）,1,0
2026-06,03507,地域密着型通所介護,1,0
2026-06,03507,小規模多機能型居宅介護,4,0
2026-06,03507,居宅介護支援,6,159
2026-06,03507,短期入所生活介護,4,14
2026-06,03507,短期入所療養介護（介護老人保健施設）,2,0
2026-06,03507,訪問リハビリテーション,1,0
2026-06,03507,訪問介護,3,0
2026-06,03507,訪問看護,1,0
2026-06,03507,認知症対応型共同生活介護,3,18
2026-06,03507,通所リハビリテーション,1,0
2026-06,03507,通所介護,2,0
2026-06,03524,介護老人保健施設,1,0
2026-06,03524,介護老人福祉施設,1,0
2026-06,03524,地域密着型介護老人福祉施設入所者生活介護,2,0
2026-06,03524,地域密着型通所介護,1,0
2026-06,03524,居宅介護支援,4,0
2026-06,03524,短期入所生活介護,5,30
2026-06,03524,短期入所療養介護（介護老人保健施設）,1,0
2026-06,03524,訪問介護,2,0
2026-06,03524,訪問看護,2,0
2026-06,03524,認知症対応型共同生活介護,1,9
2026-06,03524,認知症対応型通所介護,1,0
2026-06,03524,通所介護,4,25
