code,service,offices,with_url
03214,就労継続支援Ｂ型,5,2
03214,居宅介護,2,1
03214,放課後等デイサービス,2,0
03214,生活介護,3,2
03214,短期入所,2,2
03214,計画相談支援,3,0
03214,重度訪問介護,1,0
03214,障害児相談支援,2,0
03215,保育所等訪問支援,5,5
03215,児童発達支援,12,10
03215,共同生活援助,9,8
03215,同行援護,1,1
03215,地域相談支援（地域定着支援）,5,3
03215,地域相談支援（地域移行支援）,5,4
03215,就労定着支援,1,1
03215,就労移行支援,1,1
03215,就労継続支援Ａ型,5,1
03215,就労継続支援Ｂ型,17,10
03215,居宅介護,11,6
03215,放課後等デイサービス,17,12
03215,施設入所支援,3,3
03215,生活介護,16,13
03215,短期入所,8,6
03215,福祉型障害児入所施設,1,1
03215,自立生活援助,2,2
03215,自立訓練（生活訓練）,1,0
03215,行動援護,1,1
03215,計画相談支援,11,7
03215,重度訪問介護,10,5
03215,障害児相談支援,4,2
03216,保育所等訪問支援,1,0
03216,児童発達支援,4,1
03216,共同生活援助,10,4
03216,地域相談支援（地域定着支援）,1,1
03216,地域相談支援（地域移行支援）,1,1
03216,宿泊型自立訓練,2,2
03216,就労移行支援,1,1
03216,就労継続支援Ａ型,1,1
03216,就労継続支援Ｂ型,12,8
03216,居宅介護,7,2
03216,放課後等デイサービス,7,2
03216,施設入所支援,2,2
03216,生活介護,10,5
03216,短期入所,4,3
03216,自立生活援助,1,1
03216,自立訓練（生活訓練）,4,2
03216,計画相談支援,4,2
03216,重度訪問介護,5,1
03216,障害児相談支援,2,1
03301,児童発達支援,1,0
03301,共同生活援助,3,1
03301,就労継続支援Ａ型,1,1
03301,就労継続支援Ｂ型,3,1
03301,居宅介護,2,1
03301,放課後等デイサービス,1,0
03301,施設入所支援,2,1
03301,生活介護,4,2
03301,短期入所,2,1
03301,計画相談支援,2,1
03301,重度訪問介護,2,1
03301,障害児相談支援,1,0
03302,就労継続支援Ｂ型,1,0
03302,居宅介護,2,1
03302,短期入所,1,1
03302,行動援護,1,1
03302,重度訪問介護,2,1
03303,同行援護,1,1
03303,地域相談支援（地域定着支援）,1,0
03303,地域相談支援（地域移行支援）,1,0
03303,就労継続支援Ｂ型,1,0
03303,居宅介護,1,1
03303,生活介護,1,1
03303,行動援護,1,1
03303,計画相談支援,1,0
03303,重度訪問介護,1,1
03303,障害児相談支援,2,1
03321,児童発達支援,1,0
03321,共同生活援助,2,0
03321,就労継続支援Ａ型,1,0
03321,就労継続支援Ｂ型,4,2
03321,居宅介護,2,0
03321,放課後等デイサービス,4,0
03321,生活介護,3,2
