code,pop15,labor,labor_rate,workers,wA,wB,wC,wD,wE,wF,wG,wH,wI,wJ,wK,wL,wM,wN,wO,wP,wQ,wR,wS,wT,w1,w2,w3,commute,school,day_pop,dn_ratio
03216,47640,30741,64.52771,29656,1404,7,9,3446,3016,118,430,1665,5219,502,461,847,1616,994,1391,4606,248,1826,1851,,1411,6471,21774,27207,8012,46922,84.42397
03301,14144,8805,62.25255,8496,1423,3,5,927,726,39,57,432,1198,101,94,155,752,311,228,1104,94,547,300,,1426,1658,5412,6902,1550,14886,94.62844
03302,5214,2802,53.73993,2700,735,-,4,329,344,18,5,82,245,9,7,18,131,57,72,335,76,104,129,,735,677,1288,1898,429,5467,97.03585
03303,11192,6733,60.15904,6436,1685,-,1,742,958,11,19,251,801,78,23,70,163,173,189,681,96,260,235,,1685,1701,3050,4791,1141,11341,92.31583
03321,28161,18402,65.34569,17811,2166,3,7,1491,2007,88,193,1227,3090,279,235,370,656,584,810,2530,281,1144,650,,2169,3505,12137,14868,3880,25823,80.32787
03322,24264,15231,62.77201,14669,1062,-,8,1085,1233,94,169,1087,2893,277,251,381,600,523,949,2434,163,895,565,,1062,2326,11281,13189,4484,32685,116.49914
03366,4774,2743,57.45706,2653,523,1,-,315,270,9,1,78,250,15,2,24,177,89,60,521,64,119,135,,524,585,1544,2014,348,5097,99.27931
03381,13589,9136,67.23085,8931,1238,6,-,512,2889,53,44,465,956,88,52,102,310,266,275,925,95,455,200,,1244,3401,4286,7503,1781,18385,118.34567
03402,6461,3954,61.19796,3806,516,-,1,392,696,15,23,158,488,55,41,79,240,122,112,462,48,233,125,,516,1089,2201,3075,771,6579,90.7198
03441,4669,2569,55.02249,2471,436,-,19,335,471,4,2,84,276,13,9,20,64,44,58,381,35,100,120,,436,825,1210,2073,375,4807,95.28246
03461,9840,5537,56.27033,5200,141,159,28,691,1143,26,15,262,742,51,47,69,241,134,181,671,78,269,252,,300,1862,3038,4706,973,9742,88.53144
03482,12937,7220,55.80892,6859,231,628,12,1005,1007,15,7,313,952,84,48,61,325,181,176,905,140,339,430,,859,2024,3976,5898,1269,13012,90.86592
03483,7966,4395,55.17198,4191,743,75,27,542,455,24,4,177,457,32,12,77,162,115,215,465,109,188,312,,818,1024,2349,3434,682,9032,103.50676
03484,2742,1586,57.84099,1530,252,110,7,245,158,1,4,74,114,5,3,5,100,15,37,211,49,59,81,,362,410,758,1244,283,3091,101.04609
03485,2267,1321,58.27084,1268,62,185,-,206,168,3,1,42,141,5,2,9,55,31,23,147,48,56,84,,247,374,647,1015,205,2363,95.01407
03501,7655,4610,60.22208,4473,1174,-,4,566,589,25,14,228,443,37,12,42,119,135,112,539,57,195,182,,1174,1159,2140,3299,743,7962,94.54934
03503,3502,2035,58.10965,1942,173,107,5,320,225,15,1,66,262,23,6,19,80,50,55,269,44,96,126,,280,550,1112,1635,360,3557,90.37093
03506,4867,2922,60.03698,2794,865,-,-,228,443,10,2,141,232,19,4,25,82,57,54,346,26,148,112,,865,671,1258,1965,519,5342,99.33061
03507,13722,7668,55.88107,7237,1099,300,4,1292,841,25,19,288,846,64,34,56,253,210,261,919,129,363,234,,1399,2137,3701,5882,1419,13222,87.61513
03524,10493,5983,57.01897,5746,1156,1,2,563,878,16,17,221,695,50,28,44,167,149,172,952,94,307,234,,1157,1443,3146,4549,1065,11527,100.28711
