code,pop15,labor,labor_rate,workers,wA,wB,wC,wD,wE,wF,wG,wH,wI,wJ,wK,wL,wM,wN,wO,wP,wQ,wR,wS,wT,w1,w2,w3,commute,school,day_pop,dn_ratio
03000,1063175,651388,61.26818,626728,55677,4670,582,59026,96079,3173,6959,31511,94496,11265,8213,13559,31798,20664,29090,89608,8263,35760,26335,,60347,155687,410694,546938,135918,1208267,99.81273
03201,247929,153065,61.73743,147174,4541,23,47,11270,8853,1018,4007,7949,28175,4668,3470,5201,9357,5762,9789,24762,956,9828,7498,,4564,20170,122440,138674,36685,301853,104.18388
03202,45036,25331,56.24611,24135,928,886,55,2826,3235,173,64,1032,3565,379,304,523,1203,703,1197,3900,454,1348,1360,,1814,6116,16205,21186,4795,51239,101.72725
03203,30998,18550,59.84257,17878,534,798,89,2272,2651,92,111,802,2718,252,194,338,872,585,832,2371,404,1095,868,,1332,5012,11534,15806,3144,35637,102.61748
03205,82344,50958,61.88429,49252,5371,7,19,3658,9762,189,335,2857,7322,661,460,881,2737,1569,1982,6569,748,2483,1642,,5378,13439,30435,41847,10639,89577,96.11988
03206,79628,52391,65.7947,50553,2843,3,10,3752,15209,301,414,3052,6442,708,622,950,2498,1492,1989,5613,502,2727,1426,,2846,18971,28736,45850,11066,97886,105.20286
03207,28703,17121,59.64882,16381,1205,355,27,2291,2386,89,25,775,2144,206,156,295,694,493,856,2363,291,874,856,,1560,4704,10117,14820,3488,33870,102.5028
03208,22780,13805,60.6014,13320,2221,6,24,1694,2551,44,54,442,1542,164,69,160,542,374,367,1727,183,684,472,,2227,4269,6824,10580,2450,24683,97.30742
03209,99676,59970,60.16493,57707,7035,20,69,5249,11929,174,321,2734,7543,840,482,846,2419,1749,2521,8277,907,2828,1764,,7055,17247,33405,48494,12167,111955,100.02055
03210,16579,9531,57.48839,9137,564,453,24,1422,1265,18,35,331,1232,108,72,137,369,253,393,1288,202,605,366,,1017,2711,5409,8043,1583,17080,93.52754
03211,28912,16078,55.61013,15339,205,516,33,1541,3076,116,93,585,2134,295,204,399,715,461,604,2107,254,959,1042,,721,4650,9968,13902,2665,34647,108.0086
03213,22839,14271,62.48522,13725,2438,2,5,1250,2162,67,52,590,1939,188,106,178,441,349,546,1881,165,817,549,,2440,3417,7868,11011,2522,25998,101.90099
03214,21870,13303,60.82762,12755,2859,12,25,1307,1831,42,52,419,1455,112,80,181,962,409,301,1493,193,639,383,,2871,3163,6721,9649,2113,23730,98.78034
03215,99782,62621,62.75781,60503,7849,4,12,5262,12652,241,369,2602,7985,897,623,997,2696,2225,2283,7854,1030,3170,1752,,7853,17926,34724,49929,12312,109270,96.75306
