code,year,bldg_all,floor_all,bldg_house,floor_house,bldg_mixed,floor_mixed,cost_all,cost_house
03215,2017,698,102886,561,59208,3,310,1763940,985701
03215,2018,769,137506,638,64622,5,610,3116312,1067978
03215,2019,754,120980,630,61360,0,0,2093592,1033034
03216,2014,320,69471,263,30095,2,165,1432439,491795
03216,2015,318,53181,277,31528,1,100,868604,508300
03216,2016,260,38156,228,26242,1,119,617709,439466
03216,2017,354,56360,316,35861,0,0,880595,609315
03216,2018,415,59118,374,41311,4,486,1121772,702853
03216,2019,427,57063,374,39473,1,120,891489,679123
03301,2011,68,6354,55,5537,0,0,86003,79142
03301,2012,71,9611,55,6345,0,0,148999,97100
03301,2013,79,12555,63,6632,0,0,217853,100241
03301,2014,54,6306,45,4813,0,0,108679,80899
03301,2015,73,8055,53,5309,0,0,130028,83362
03301,2016,77,9709,53,5132,1,191,162878,81289
03301,2017,71,13641,48,5060,1,113,265156,82854
03301,2018,68,17795,46,5001,0,0,224519,85400
03301,2019,79,9375,50,5003,0,0,212173,88278
03302,2011,30,3632,21,2055,0,0,49566,31914
03302,2012,19,4037,10,1328,1,119,63144,21093
03302,2013,26,2698,22,2310,1,104,42032,32782
03302,2014,34,4548,25,1762,0,0,63196,28796
03302,2015,22,2741,14,1612,0,0,35222,24250
03302,2016,32,15012,18,4033,0,0,449984,77030
03302,2017,21,1794,16,1351,1,119,24548,18450
03302,2018,15,2739,8,1003,0,0,51421,16950
03302,2019,21,12890,10,1068,0,0,439572,17657
03303,2011,42,9774,29,3925,0,0,125699,55599
03303,2012,62,8864,47,5487,0,0,109152,85302
03303,2013,48,4773,37,3690,0,0,78823,58663
03303,2014,47,7284,32,4509,0,0,95618,69128
03303,2015,45,6646,35,3843,0,0,90027,59550
03303,2016,47,8558,37,5017,0,0,128473,88443
03303,2017,59,12210,39,4600,0,0,191811,79983
03303,2018,49,7184,40,4846,0,0,108647,88682
03303,2019,60,7507,47,5275,0,0,116085,94430
03305,2011,272,40650,249,30312,1,174,607362,451042
03305,2012,330,44443,275,31747,5,574,715161,476091
03305,2013,318,48012,289,32593,0,0,716540,506837
03321,2011,162,24806,134,14904,0,0,377610,227770
03321,2012,196,25741,154,18413,0,0,364968,281840
03321,2013,202,33021,158,18367,1,259,610377,276722
03321,2014,173,22557,146,17277,1,228,383243,288553
03321,2015,188,30984,167,19553,1,124,584278,316272
03321,2016,190,27670,160,17834,3,1164,479717,291047
03321,2017,180,21483,158,16724,1,119,348973,286307
03321,2018,231,55431,197,22671,0,0,1016458,377326
03321,2019,328,39597,295,32421,3,447,719781,558318
03322,2011,130,31333,103,16224,0,0,451267,219598
03322,2012,212,54054,169,23663,4,1882,749863,353011
03322,2013,249,38939,210,28589,3,625,606118,443570
03322,2014,274,45340,217,28279,2,451,722277,474328
03322,2015,248,71188,194,28029,1,1111,2317077,481403
03322,2016,167,33302,136,18845,1,127,673754,328764
03322,2017,179,114690,133,16155,1,139,4490442,295394
03322,2018,170,52969,127,16890,0,0,1009578,327776
03322,2019,167,30580,142,19228,0,0,697616,369204
03366,2011,16,1569,9,1081,0,0,20725,15610
03366,2012,15,1129,7,786,0,0,10926,7585
03366,2013,28,8357,17,2174,0,0,180303,27894
03366,2014,23,2776,17,2250,0,0,40570,32071
03366,2015,17,2681,11,1318,0,0,51160,18260
03366,2016,12,1319,5,475,0,0,36622,5762
03366,2017,11,1459,10,1260,0,0,22340,＊
03366,2018,11,1074,8,679,0,0,13450,8560
03366,2019,12,3617,6,875,0,0,86900,15250
03381,2011,72,39994,46,5715,2,170,423760,85265
03381,2012,88,17531,66,7320,0,0,227552,111942
03381,2013,116,18904,87,10217,6,658,271960,153430
03381,2014,95,13290,69,8522,2,284,169072,123918
03381,2015,88,13809,72,7270,0,0,187863,119364
03381,2016,98,16790,81,8778,0,0,353456,148087
03381,2017,87,11724,74,7890,0,0,222727,138857
03381,2018,116,46505,90,9628,1,99,777734,171491
03381,2019,130,30209,101,20918,2,268,613357,478007
03402,2011,25,5622,17,2526,0,0,89288,37769
03402,2012,43,4499,35,3952,0,0,62412,55087
03402,2013,35,3493,26,2752,0,0,47952,39957
03402,2014,34,3462,23,2268,1,51,54321,34931
03402,2015,30,4843,20,2534,1,189,76355,39795
03402,2016,21,5801,12,1207,0,0,110261,20311
03402,2017,21,3395,17,2053,0,0,64384,37407
03402,2018,27,6284,23,2447,0,0,210840,45490
03402,2019,32,8162,18,2057,1,131,249599,33454
03422,2011,18,1942,15,1603,0,0,25887,20780
03441,2011,22,8292,8,902,0,0,213914,16364
03441,2012,21,2653,14,1806,0,0,37773,25782
03441,2013,37,13733,18,1979,1,161,206447,36527
03441,2014,27,12431,17,1762,0,0,241446,31626
03441,2015,21,2325,14,1567,0,0,40506,28786
03441,2016,16,1668,11,1226,1,129,31625,23725
03441,2017,25,4260,13,1152,0,0,105125,19203
03441,2018,32,14205,15,1745,1,145,106917,32097
03441,2019,14,3980,7,1274,0,0,36304,23290
03461,2011,40,5578,19,1844,1,169,80242,27848
03461,2012,134,24130,83,13788,3,953,390114,228616
03461,2013,209,52726,176,41541,2,718,914377,735835
03461,2014,271,43823,203,24944,4,898,1011231,503053
03461,2015,300,57567,234,31557,1,197,1285924,672830
03461,2016,263,35674,215,27433,4,1074,738018,554711
03461,2017,508,69850,428,50822,18,3065,1597176,1090432
03461,2018,301,38646,244,29277,15,2123,875520,595205
03461,2019,149,16440,120,13072,7,1053,311623,250044
03482,2011,103,14704,42,4581,2,271,167219,61289
03482,2012,222,42711,127,14522,1,28,671900,216739
03482,2013,264,57891,182,26074,2,167,992161,417271
03482,2014,198,38314,154,26266,3,757,720993,573501
03482,2015,226,38884,170,26504,4,637,861563,532154
03482,2016,403,51757,341,38039,4,854,1096734,752971
03482,2017,275,40596,216,26458,5,781,903211,541713
03482,2018,322,35998,256,25310,8,1096,675168,458880
03482,2019,192,23408,154,16598,8,1204,418013,295838
03483,2011,49,9689,15,1225,1,146,107797,15014
03483,2012,71,11755,31,4095,0,0,140776,60885
03483,2013,76,16180,42,6909,0,0,297823,120311
03483,2014,55,15067,25,2793,0,0,418284,51720
