year,code,name,gen_total,gen_with_beds,gen_ryoyo,gen_no_beds,dent_total,dent_with_beds,dent_no_beds,gen_beds,gen_ryoyo_beds
2017,03,岩手県,874,105,13,769,587,-,587,1418,148
2017,03201,盛岡市,258,30,1,228,202,-,202,330,9
2017,03214,八幡平市,14,2,-,12,9,-,9,21,-
2017,03301,雫石町,11,2,-,9,6,-,6,28,-
2017,03302,葛巻町,3,1,1,2,3,-,3,19,15
2017,03303,岩手町,13,2,1,11,5,-,5,38,15
2017,03216,滝沢市,25,1,-,24,20,-,20,10,-
2017,03321,紫波町,18,2,-,16,12,-,12,32,-
2017,03322,矢巾町,19,4,1,15,15,-,15,69,12
2017,03205,花巻市,66,10,2,56,34,-,34,155,24
2017,03206,北上市,65,6,1,59,40,-,40,64,12
2017,03208,遠野市,16,-,-,16,11,-,11,-,-
2017,03366,西和賀町,6,1,1,5,2,-,2,11,7
2017,03215,奥州市,90,11,2,79,51,-,51,175,24
2017,03381,金ケ崎町,12,1,-,11,6,-,6,19,-
2017,03209,一関市,81,8,1,73,52,-,52,107,8
2017,03402,平泉町,3,-,-,3,2,-,2,-,-
2017,03203,大船渡市,27,2,-,25,17,-,17,38,-
2017,03210,陸前高田市,8,1,-,7,7,-,7,19,-
2017,03441,住田町,2,1,-,1,2,-,2,19,-
2017,03211,釜石市,20,2,-,18,14,-,14,21,-
2017,03461,大槌町,6,-,-,6,3,-,3,-,-
2017,03202,宮古市,33,6,1,27,21,-,21,73,6
2017,03482,山田町,3,-,-,3,3,-,3,-,-
2017,03483,岩泉町,7,1,-,6,5,-,5,12,-
2017,03484,田野畑村,3,-,-,3,2,-,2,-,-
2017,03207,久慈市,22,2,-,20,13,-,13,36,-
2017,03485,普代村,2,1,-,1,1,-,1,13,-
2017,03503,野田村,3,-,-,3,1,-,1,-,-
2017,03507,洋野町,5,1,-,4,5,-,5,6,-
2017,03213,二戸市,16,5,1,11,14,-,14,65,16
2017,03501,軽米町,6,-,-,6,3,-,3,-,-
2017,03506,九戸村,3,1,-,2,1,-,1,19,-
2017,03524,一戸町,8,1,-,7,5,-,5,19,-
2018,03,岩手県,882,101,11,781,583,-,583,1343,114
2018,03201,盛岡市,261,31,1,230,200,-,200,351,9
2018,03214,八幡平市,14,2,-,12,9,-,9,21,-
2018,03216,滝沢市,25,1,-,24,20,-,20,10,-
2018,03301,雫石町,12,2,-,10,6,-,6,28,-
2018,03302,葛巻町,3,1,1,2,3,-,3,19,15
2018,03303,岩手町,13,2,1,11,5,-,5,38,15
2018,03321,紫波町,18,2,-,16,13,-,13,32,-
2018,03322,矢巾町,19,3,-,16,14,-,14,57,-
2018,03205,花巻市,68,8,1,60,34,-,34,117,6
2018,03206,北上市,65,6,1,59,41,-,41,64,12
2018,03208,遠野市,16,-,-,16,11,-,11,-,-
2018,03366,西和賀町,5,1,1,4,2,-,2,11,7
2018,03215,奥州市,91,10,2,81,49,-,49,148,24
2018,03381,金ケ崎町,12,-,-,12,6,-,6,-,-
2018,03209,一関市,81,8,1,73,52,-,52,107,4
2018,03402,平泉町,3,-,-,3,2,-,2,-,-
2018,03203,大船渡市,27,2,-,25,17,-,17,38,-
2018,03210,陸前高田市,8,1,-,7,7,-,7,19,-
2018,03441,住田町,2,1,-,1,2,-,2,19,-
2018,03211,釜石市,19,2,-,17,14,-,14,21,-
2018,03461,大槌町,6,-,-,6,3,-,3,-,-
2018,03202,宮古市,32,6,1,26,21,-,21,73,6
2018,03482,山田町,3,-,-,3,3,-,3,-,-
2018,03483,岩泉町,7,1,-,6,4,-,4,12,-
2018,03484,田野畑村,3,-,-,3,2,-,2,-,-
2018,03207,久慈市,22,2,-,20,13,-,13,36,-
2018,03485,普代村,2,1,-,1,1,-,1,13,-
2018,03503,野田村,3,-,-,3,1,-,1,-,-
2018,03507,洋野町,6,1,-,5,5,-,5,6,-
2018,03213,二戸市,17,5,1,12,14,-,14,65,16
2018,03501,軽米町,6,-,-,6,3,-,3,-,-
2018,03506,九戸村,3,1,-,2,1,-,1,19,-
2018,03524,一戸町,10,1,-,9,5,-,5,19,-
2019,03,岩手県,879,96,10,783,576,-,576,1270,102
2019,03201,盛岡市,264,30,1,234,198,-,198,333,9
2019,03214,八幡平市,13,2,-,11,9,-,9,21,-
2019,03216,滝沢市,23,1,-,22,20,-,20,10,-
2019,03301,雫石町,13,2,-,11,6,-,6,28,-
2019,03302,葛巻町,3,1,1,2,3,-,3,19,15
2019,03303,岩手町,13,2,1,11,5,-,5,38,15
2019,03321,紫波町,18,2,-,16,13,-,13,32,-
2019,03322,矢巾町,20,3,-,17,13,-,13,57,-
2019,03205,花巻市,65,7,1,58,34,-,34,105,6
2019,03206,北上市,63,5,-,58,39,-,39,52,-
2019,03208,遠野市,16,-,-,16,11,-,11,-,-
2019,03366,西和賀町,5,1,1,4,2,-,2,11,7
2019,03215,奥州市,91,9,2,82,49,-,49,136,24
2019,03381,金ケ崎町,12,-,-,12,6,-,6,-,-
2019,03209,一関市,81,8,1,73,50,-,50,107,4
2019,03402,平泉町,3,-,-,3,2,-,2,-,-
