year,code,name,gen_total,gen_with_beds,gen_ryoyo,gen_no_beds,dent_total,dent_with_beds,dent_no_beds,gen_beds,gen_ryoyo_beds
2019,03203,大船渡市,27,1,-,26,17,-,17,19,-
2019,03210,陸前高田市,8,1,-,7,7,-,7,19,-
2019,03441,住田町,2,1,-,1,2,-,2,19,-
2019,03211,釜石市,17,2,-,15,15,-,15,21,-
2019,03461,大槌町,6,-,-,6,3,-,3,-,-
2019,03202,宮古市,33,6,1,27,20,-,20,73,6
2019,03482,山田町,3,-,-,3,3,-,3,-,-
2019,03483,岩泉町,7,1,-,6,4,-,4,12,-
2019,03484,田野畑村,3,-,-,3,2,-,2,-,-
2019,03207,久慈市,22,2,-,20,13,-,13,36,-
2019,03485,普代村,2,1,-,1,1,-,1,13,-
2019,03503,野田村,3,-,-,3,1,-,1,-,-
2019,03507,洋野町,6,1,-,5,5,-,5,6,-
2019,03213,二戸市,18,5,1,13,14,-,14,65,16
2019,03501,軽米町,6,-,-,6,3,-,3,-,-
2019,03506,九戸村,3,1,-,2,1,-,1,19,-
2019,03524,一戸町,10,1,-,9,5,-,5,19,-
2020,03,岩手県,877,91,8,786,566,-,566,1187,86
2020,03201,盛岡市,262,29,1,233,196,-,196,335,9
2020,03214,八幡平市,13,2,-,11,9,-,9,21,-
2020,03216,滝沢市,23,1,-,22,19,-,19,10,-
2020,03301,雫石町,10,2,-,8,6,-,6,28,-
2020,03302,葛巻町,3,1,1,2,3,-,3,19,15
2020,03303,岩手町,12,2,1,10,5,-,5,38,15
2020,03321,紫波町,18,2,-,16,12,-,12,32,-
2020,03322,矢巾町,19,2,-,17,13,-,13,38,-
2020,03205,花巻市,69,7,1,62,34,-,34,105,6
2020,03206,北上市,63,4,-,59,38,-,38,36,-
2020,03208,遠野市,16,-,-,16,10,-,10,-,-
2020,03366,西和賀町,5,1,1,4,2,-,2,11,7
2020,03215,奥州市,89,7,1,82,49,-,49,98,12
2020,03381,金ケ崎町,12,-,-,12,6,-,6,-,-
2020,03209,一関市,85,8,-,77,47,-,47,107,-
2020,03402,平泉町,3,-,-,3,2,-,2,-,-
2020,03203,大船渡市,28,1,-,27,17,-,17,19,-
2020,03210,陸前高田市,8,2,-,6,7,-,7,21,-
2020,03441,住田町,2,1,-,1,2,-,2,19,-
2020,03211,釜石市,17,2,-,15,15,-,15,21,-
2020,03461,大槌町,7,-,-,7,3,-,3,-,-
2020,03202,宮古市,32,5,1,27,20,-,20,59,6
2020,03482,山田町,3,-,-,3,3,-,3,-,-
2020,03483,岩泉町,7,1,-,6,4,-,4,12,-
2020,03484,田野畑村,3,-,-,3,2,-,2,-,-
2020,03207,久慈市,21,2,-,19,12,-,12,36,-
2020,03485,普代村,2,1,-,1,1,-,1,13,-
2020,03503,野田村,3,-,-,3,1,-,1,-,-
2020,03507,洋野町,6,1,-,5,5,-,5,6,-
2020,03213,二戸市,18,5,1,13,14,-,14,65,16
2020,03501,軽米町,5,-,-,5,3,-,3,-,-
2020,03506,九戸村,3,1,-,2,1,-,1,19,-
2020,03524,一戸町,10,1,-,9,5,-,5,19,-
2021,03,岩手県,888,90,8,798,557,-,557,1163,86
2021,03201,盛岡市,260,29,1,231,191,-,191,335,9
2021,03214,八幡平市,13,2,-,11,9,-,9,21,-
2021,03216,滝沢市,23,1,-,22,18,-,18,10,-
2021,03301,雫石町,10,2,-,8,5,-,5,28,-
2021,03302,葛巻町,3,1,1,2,3,-,3,19,15
2021,03303,岩手町,12,2,1,10,5,-,5,38,15
2021,03321,紫波町,18,2,-,16,12,-,12,32,-
2021,03322,矢巾町,20,2,-,18,13,-,13,38,-
2021,03205,花巻市,70,7,1,63,35,-,35,99,6
2021,03206,北上市,66,4,-,62,37,-,37,36,-
2021,03208,遠野市,16,-,-,16,10,-,10,-,-
2021,03366,西和賀町,5,1,1,4,2,-,2,11,7
2021,03215,奥州市,92,7,1,85,50,-,50,98,12
2021,03381,金ケ崎町,13,-,-,13,6,-,6,-,-
2021,03209,一関市,84,7,-,77,47,-,47,89,-
2021,03402,平泉町,4,-,-,4,2,-,2,-,-
2021,03203,大船渡市,27,1,-,26,17,-,17,19,-
2021,03210,陸前高田市,8,2,-,6,7,-,7,21,-
2021,03441,住田町,2,1,-,1,2,-,2,19,-
2021,03211,釜石市,19,2,-,17,14,-,14,21,-
2021,03461,大槌町,7,-,-,7,3,-,3,-,-
2021,03202,宮古市,34,5,1,29,19,-,19,59,6
2021,03482,山田町,3,-,-,3,3,-,3,-,-
2021,03483,岩泉町,7,1,-,6,4,-,4,12,-
2021,03484,田野畑村,3,-,-,3,2,-,2,-,-
2021,03207,久慈市,20,2,-,18,12,-,12,36,-
2021,03485,普代村,2,1,-,1,1,-,1,13,-
2021,03503,野田村,4,-,-,4,1,-,1,-,-
2021,03507,洋野町,6,1,-,5,5,-,5,6,-
2021,03213,二戸市,19,5,1,14,14,-,14,65,16
2021,03501,軽米町,5,-,-,5,3,-,3,-,-
2021,03506,九戸村,3,1,-,2,-,-,-,19,-
2021,03524,一戸町,10,1,-,9,5,-,5,19,-
2022,03,岩手県,889,83,7,806,548,-,548,1055,71
2022,03201,盛岡市,260,27,1,233,187,-,187,306,9
2022,03214,八幡平市,13,2,-,11,9,-,9,21,-
2022,03216,滝沢市,23,1,-,22,19,-,19,10,-
2022,03301,雫石町,10,2,-,8,5,-,5,28,-
2022,03302,葛巻町,2,-,-,2,3,-,3,-,-
2022,03303,岩手町,12,2,1,10,5,-,5,38,15
2022,03321,紫波町,19,2,-,17,12,-,12,32,-
2022,03322,矢巾町,21,1,-,20,13,-,13,19,-
2022,03205,花巻市,68,7,1,61,35,-,35,99,6
2022,03206,北上市,63,4,-,59,37,-,37,36,-
2022,03208,遠野市,17,-,-,17,9,-,9,-,-
2022,03366,西和賀町,5,1,1,4,2,-,2,11,7
2022,03215,奥州市,92,7,1,85,50,-,50,98,12
2022,03381,金ケ崎町,17,-,-,17,6,-,6,-,-
2022,03209,一関市,85,6,-,79,44,-,44,79,-
2022,03402,平泉町,4,-,-,4,2,-,2,-,-
2022,03203,大船渡市,27,1,-,26,17,-,17,19,-
2022,03210,陸前高田市,8,2,-,6,7,-,7,21,-
2022,03441,住田町,2,1,-,1,2,-,2,19,-
2022,03211,釜石市,18,2,-,16,14,-,14,21,-
2022,03461,大槌町,8,-,-,8,3,-,3,-,-
2022,03202,宮古市,34,5,1,29,18,-,18,59,6
2022,03482,山田町,3,-,-,3,3,-,3,-,-
2022,03483,岩泉町,7,-,-,7,3,-,3,-,-
2022,03484,田野畑村,3,-,-,3,2,-,2,-,-
2022,03207,久慈市,19,2,-,17,12,-,12,36,-
2022,03485,普代村,2,1,-,1,1,-,1,13,-
2022,03503,野田村,4,-,-,4,1,-,1,-,-
2022,03507,洋野町,6,1,-,5,5,-,5,6,-
2022,03213,二戸市,18,4,1,14,14,-,14,46,16
2022,03501,軽米町,6,-,-,6,3,-,3,-,-
2022,03506,九戸村,3,1,-,2,-,-,-,19,-
2022,03524,一戸町,10,1,-,9,5,-,5,19,-
2023,03,岩手県,879,75,5,804,542,-,542,939,55
2023,03201,盛岡市,258,22,-,236,185,-,185,224,-
2023,03214,八幡平市,14,2,-,12,9,-,9,21,-
2023,03216,滝沢市,23,1,-,22,19,-,19,10,-
2023,03301,雫石町,10,2,-,8,5,-,5,28,-
2023,03302,葛巻町,2,-,-,2,3,-,3,-,-
2023,03303,岩手町,13,2,1,11,5,-,5,38,15
2023,03321,紫波町,18,2,-,16,12,-,12,27,-
2023,03322,矢巾町,19,1,-,18,13,-,13,19,-
2023,03205,花巻市,68,7,1,61,35,-,35,99,6
2023,03206,北上市,62,3,-,59,36,-,36,26,-
2023,03208,遠野市,17,-,-,17,9,-,9,-,-
2023,03366,西和賀町,5,-,-,5,2,-,2,-,-
2023,03215,奥州市,86,7,1,79,50,-,50,98,12
2023,03381,金ケ崎町,15,-,-,15,6,-,6,-,-
2023,03209,一関市,82,6,-,76,45,-,45,79,-
2023,03402,平泉町,4,-,-,4,2,-,2,-,-
2023,03203,大船渡市,28,1,-,27,15,-,15,19,-
2023,03210,陸前高田市,10,2,-,8,7,-,7,21,-
2023,03441,住田町,5,1,-,4,2,-,2,19,-
2023,03211,釜石市,17,2,-,15,14,-,14,21,-
2023,03461,大槌町,9,-,-,9,3,-,3,-,-
2023,03202,宮古市,34,5,1,29,17,-,17,59,6
2023,03482,山田町,3,-,-,3,2,-,2,-,-
2023,03483,岩泉町,7,-,-,7,3,-,3,-,-
2023,03484,田野畑村,3,-,-,3,2,-,2,-,-
2023,03207,久慈市,19,2,-,17,12,-,12,36,-
2023,03485,普代村,2,1,-,1,1,-,1,13,-
2023,03503,野田村,4,-,-,4,1,-,1,-,-
2023,03507,洋野町,5,1,-,4,5,-,5,6,-
2023,03213,二戸市,18,3,1,15,14,-,14,38,16
2023,03501,軽米町,6,-,-,6,3,-,3,-,-
2023,03506,九戸村,3,1,-,2,-,-,-,19,-
2023,03524,一戸町,10,1,-,9,5,-,5,19,-
2024,03,岩手県,874,70,3,804,534,-,534,885,37
2024,03201,盛岡市,260,21,-,239,184,-,184,228,-
2024,03214,八幡平市,12,1,-,11,8,-,8,2,-
2024,03216,滝沢市,24,1,-,23,19,-,19,10,-
2024,03301,雫石町,10,2,-,8,4,-,4,28,-
2024,03302,葛巻町,2,-,-,2,2,-,2,-,-
2024,03303,岩手町,13,2,1,11,4,-,4,38,15
2024,03321,紫波町,18,2,-,16,11,-,11,27,-
2024,03322,矢巾町,20,1,-,19,12,-,12,19,-
2024,03205,花巻市,68,7,1,61,35,-,35,99,6
2024,03206,北上市,62,3,-,59,36,-,36,26,-
2024,03208,遠野市,19,-,-,19,9,-,9,-,-
2024,03366,西和賀町,5,-,-,5,2,-,2,-,-
2024,03215,奥州市,85,5,-,80,50,-,50,68,-
2024,03381,金ケ崎町,13,-,-,13,5,-,5,-,-
2024,03209,一関市,84,6,-,78,45,-,45,79,-
2024,03402,平泉町,3,-,-,3,2,-,2,-,-
2024,03203,大船渡市,27,1,-,26,14,-,14,19,-
2024,03210,陸前高田市,8,2,-,6,7,-,7,21,-
2024,03441,住田町,5,1,-,4,2,-,2,19,-
2024,03211,釜石市,17,2,-,15,14,-,14,21,-
2024,03461,大槌町,9,-,-,9,3,-,3,-,-
2024,03202,宮古市,34,4,-,30,17,-,17,50,-
2024,03482,山田町,3,-,-,3,2,-,2,-,-
2024,03483,岩泉町,7,-,-,7,3,-,3,-,-
2024,03484,田野畑村,3,-,-,3,2,-,2,-,-
2024,03207,久慈市,17,2,-,15,13,-,13,36,-
2024,03485,普代村,2,1,-,1,1,-,1,13,-
2024,03503,野田村,4,-,-,4,1,-,1,-,-
2024,03507,洋野町,5,1,-,4,5,-,5,6,-
2024,03213,二戸市,18,3,1,15,14,-,14,38,16
2024,03501,軽米町,5,-,-,5,3,-,3,-,-
2024,03506,九戸村,3,1,-,2,-,-,-,19,-
2024,03524,一戸町,9,1,-,8,5,-,5,19,-
